Accession	Title	Links	Status	Release Date	Created	Updated	Submission	BioSample.name	BioSample.organism_name
SAMN29453358	320_d3	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:07.640Z	2022-10-25T09:19:16.706Z	SUB11601558	AGL2144	Severe acute respiratory syndrome coronavirus 2
SAMN29453357	320_d1	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:07.630Z	2022-10-25T09:19:16.683Z	SUB11601558	AGL1906	Severe acute respiratory syndrome coronavirus 2
SAMN29453353	318_d5	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:07.593Z	2022-10-25T09:19:16.660Z	SUB11601558	AGL1976	Severe acute respiratory syndrome coronavirus 2
SAMN29453351	318_d1	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:07.573Z	2022-10-25T09:19:16.636Z	SUB11601558	AGL1955	Severe acute respiratory syndrome coronavirus 2
SAMN29453349	317_d3	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:07.556Z	2022-10-25T09:19:16.590Z	SUB11601558	AGL2402	Severe acute respiratory syndrome coronavirus 2
SAMN29453347	316_d5	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:07.540Z	2022-10-25T09:19:16.570Z	SUB11601558	AGL2436	Severe acute respiratory syndrome coronavirus 2
SAMN29453345	316_d1	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:07.520Z	2022-10-25T09:19:16.546Z	SUB11601558	AGL1957	Severe acute respiratory syndrome coronavirus 2
SAMN29453344	315_d5	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:07.510Z	2022-10-25T09:19:16.520Z	SUB11601558	AGL2107	Severe acute respiratory syndrome coronavirus 2
SAMN29453339	314_d1	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:07.463Z	2022-10-25T09:19:16.493Z	SUB11601558	AGL1921	Severe acute respiratory syndrome coronavirus 2
SAMN29453335	312_d5	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:07.426Z	2022-10-25T09:19:16.470Z	SUB11601558	AGL2118	Severe acute respiratory syndrome coronavirus 2
SAMN29453334	312_d3	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:07.416Z	2022-10-25T09:19:16.443Z	SUB11601558	AGL1907	Severe acute respiratory syndrome coronavirus 2
SAMN29453331	311_d3	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:07.390Z	2022-10-25T09:19:16.413Z	SUB11601558	AGL1918	Severe acute respiratory syndrome coronavirus 2
SAMN29453330	311_d1	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:07.380Z	2022-10-25T09:19:16.373Z	SUB11601558	AGL2264	Severe acute respiratory syndrome coronavirus 2
SAMN29453329	310_d5	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:07.370Z	2022-10-25T09:19:16.296Z	SUB11601558	AGL2096	Severe acute respiratory syndrome coronavirus 2
